,Id,MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
0,1,60,191004.99478714162,65.0,8450,164754.81837837838,180183.74675819985,176938.0475285171,179956.7995658466,197965.77333333335,184495.49206349207,181169.40553633217,185763.80737704918,210051.76404494382,7,5,2003,2003,171483.95617879054,179803.6792189679,213732.90097087377,214432.46031746033,204691.87191011236,196.0,231633.51024590165,184034.89625585024,225230.44204018547,202688.4789644013,183632.6209000763,165652.29590766,235413.72009569377,706.0,0.0,150.0,856.0,182021.19537815126,214914.42914979756,186186.7098901099,186825.1131934033,856,854,1710,1.0,0.0,2,1,3,1,212116.02389078497,8,183429.14705882352,0,202892.65632183908,202068.86966824645,2.0,548.0,187489.8360030511,187885.73529411765,186433.973880597,0,61,0,0,0,0,0,2,2008,173401.8366219416,175202.21953255427,208500
1,2,20,191004.99478714162,80.0,9600,164754.81837837838,180183.74675819985,177934.5744680851,179956.7995658466,238770.10093650132,142475.4814814815,181169.40553633217,185763.80737704918,175985.4779614325,6,8,1976,1976,171483.95617879054,179803.6792189679,149422.17727272728,149803.17289719626,156958.24311926606,0.0,144341.31346578366,184034.89625585024,149805.714511041,202688.4789644013,183632.6209000763,257689.80597014926,161573.06818181818,978.0,0.0,284.0,1262.0,182021.19537815126,214914.42914979756,186186.7098901099,186825.1131934033,1262,0,1262,0.0,1.0,2,0,3,1,139962.51156462586,6,183429.14705882352,1,202892.65632183908,202068.86966824645,2.0,460.0,187489.8360030511,187885.73529411765,186433.973880597,298,0,0,0,0,0,0,5,2007,173401.8366219416,175202.21953255427,181500
2,3,60,191004.99478714162,68.0,11250,206101.6652892562,180183.74675819985,176938.0475285171,179956.7995658466,197965.77333333335,184495.49206349207,181169.40553633217,185763.80737704918,210051.76404494382,7,5,2001,2002,171483.95617879054,179803.6792189679,213732.90097087377,214432.46031746033,204691.87191011236,162.0,231633.51024590165,184034.89625585024,225230.44204018547,202688.4789644013,183632.6209000763,192789.65789473685,235413.72009569377,486.0,0.0,434.0,920.0,182021.19537815126,214914.42914979756,186186.7098901099,186825.1131934033,920,866,1786,1.0,0.0,2,1,3,1,212116.02389078497,6,183429.14705882352,1,202892.65632183908,202068.86966824645,2.0,608.0,187489.8360030511,187885.73529411765,186433.973880597,0,42,0,0,0,0,0,9,2008,173401.8366219416,175202.21953255427,223500
3,4,70,191004.99478714162,60.0,9550,206101.6652892562,180183.74675819985,181623.4258555133,179956.7995658466,210624.72549019608,184495.49206349207,181169.40553633217,185763.80737704918,210051.76404494382,7,5,1915,1970,171483.95617879054,179803.6792189679,149841.64563106795,161328.94736842104,156958.24311926606,0.0,144341.31346578366,184034.89625585024,132291.07534246575,140759.81818181818,213599.9076923077,165652.29590766,161573.06818181818,216.0,0.0,540.0,756.0,182021.19537815126,156858.87136929462,186186.7098901099,186825.1131934033,961,756,1717,1.0,0.0,1,0,3,1,212116.02389078497,7,183429.14705882352,1,134091.16279069768,142156.42314049587,3.0,642.0,187489.8360030511,187885.73529411765,186433.973880597,0,35,272,0,0,0,0,2,2006,173401.8366219416,146526.62376237623,140000
4,5,60,191004.99478714162,84.0,14260,206101.6652892562,180183.74675819985,177934.5744680851,179956.7995658466,335295.31707317074,184495.49206349207,181169.40553633217,185763.80737704918,210051.76404494382,8,5,2000,2000,171483.95617879054,179803.6792189679,213732.90097087377,214432.46031746033,204691.87191011236,350.0,231633.51024590165,184034.89625585024,225230.44204018547,202688.4789644013,183632.6209000763,206643.42081447964,235413.72009569377,655.0,0.0,490.0,1145.0,182021.19537815126,214914.42914979756,186186.7098901099,186825.1131934033,1145,1053,2198,1.0,0.0,2,1,4,1,212116.02389078497,9,183429.14705882352,1,202892.65632183908,202068.86966824645,3.0,836.0,187489.8360030511,187885.73529411765,186433.973880597,192,84,0,0,0,0,0,12,2008,173401.8366219416,175202.21953255427,250000
5,6,50,191004.99478714162,85.0,14115,206101.6652892562,180183.74675819985,176938.0475285171,179956.7995658466,156270.1224489796,184495.49206349207,181169.40553633217,185763.80737704918,143116.74025974027,5,5,1993,1995,171483.95617879054,179803.6792189679,213732.90097087377,214432.46031746033,156958.24311926606,0.0,144341.31346578366,184034.89625585024,185100.9926837664,202688.4789644013,183632.6209000763,165652.29590766,235413.72009569377,732.0,0.0,64.0,796.0,182021.19537815126,214914.42914979756,186186.7098901099,186825.1131934033,796,566,1362,1.0,0.0,1,1,1,1,139962.51156462586,5,183429.14705882352,0,202892.65632183908,142156.42314049587,2.0,480.0,187489.8360030511,187885.73529411765,186433.973880597,40,30,0,320,0,0,700,10,2009,173401.8366219416,175202.21953255427,143000
6,7,20,191004.99478714162,75.0,10084,164754.81837837838,180183.74675819985,176938.0475285171,179956.7995658466,225379.83720930232,184495.49206349207,181169.40553633217,185763.80737704918,175985.4779614325,8,5,2004,2005,171483.95617879054,179803.6792189679,213732.90097087377,214432.46031746033,265583.625,186.0,231633.51024590165,184034.89625585024,225230.44204018547,327041.04132231406,183632.6209000763,206643.42081447964,235413.72009569377,1369.0,0.0,317.0,1686.0,182021.19537815126,214914.42914979756,186186.7098901099,186825.1131934033,1694,0,1694,1.0,0.0,2,0,3,1,212116.02389078497,7,183429.14705882352,1,202892.65632183908,202068.86966824645,2.0,636.0,187489.8360030511,187885.73529411765,186433.973880597,255,57,0,0,0,0,0,8,2007,173401.8366219416,175202.21953255427,307000
7,8,60,191004.99478714162,69.0,10382,206101.6652892562,180183.74675819985,181623.4258555133,179956.7995658466,189050.0684931507,215184.21000449077,181169.40553633217,185763.80737704918,210051.76404494382,7,6,1973,1973,171483.95617879054,179803.6792189679,163077.45045045044,167661.5652173913,265583.625,240.0,144341.31346578366,184034.89625585024,149805.714511041,202688.4789644013,183632.6209000763,192789.65789473685,161573.06818181818,859.0,32.0,216.0,1107.0,182021.19537815126,214914.42914979756,186186.7098901099,186825.1131934033,1107,983,2090,1.0,0.0,2,1,3,1,139962.51156462586,7,183429.14705882352,2,202892.65632183908,202068.86966824645,2.0,484.0,187489.8360030511,187885.73529411765,186433.973880597,235,204,228,0,0,0,350,11,2009,173401.8366219416,175202.21953255427,200000
8,9,50,126316.83027522935,51.0,6120,164754.81837837838,180183.74675819985,176938.0475285171,179956.7995658466,128225.30088495575,135091.66666666666,181169.40553633217,185763.80737704918,143116.74025974027,7,5,1931,1950,171483.95617879054,179803.6792189679,194573.0,161328.94736842104,156958.24311926606,0.0,144341.31346578366,184034.89625585024,132291.07534246575,140759.81818181818,183632.6209000763,165652.29590766,170670.57674418605,0.0,0.0,952.0,952.0,182021.19537815126,156858.87136929462,186186.7098901099,107675.44444481866,1022,752,1774,0.0,0.0,2,0,2,2,139962.51156462586,8,146385.48387097096,2,134091.16279069768,142156.42314049587,2.0,468.0,123573.35416666667,187885.73529411765,186433.973880597,90,0,205,0,0,0,0,4,2008,173401.8366219416,146526.62376237623,129900
9,10,190,191004.99478714162,50.0,7420,164754.81837837838,180183.74675819985,181623.4258555133,179956.7995658466,124834.05172413793,135091.66666666666,126514.94220282196,128432.25806452104,110150.15996585367,5,6,1939,1950,171483.95617879054,179803.6792189679,149422.17727272728,149803.17289719626,156958.24311926606,0.0,144341.31346578366,184034.89625585024,132291.07534246575,140759.81818181818,183632.6209000763,165652.29590766,235413.72009569377,851.0,0.0,140.0,991.0,182021.19537815126,214914.42914979756,186186.7098901099,186825.1131934033,1077,0,1077,1.0,0.0,1,0,2,2,139962.51156462586,5,183429.14705882352,2,202892.65632183908,202068.86966824645,1.0,205.0,215860.6353110719,187885.73529411765,186433.973880597,0,4,0,0,0,0,0,1,2008,173401.8366219416,175202.21953255427,118000
